filename	round2plate	round1index	well	plate	group	donor	recipient
16S-B-A10-L2	B	2	A10	e0059-B-5	e0059	XKB-029	blank
16S-B-B10-L2	B	2	B10	e0059-B-5	e0059	XKB-029	full-community
16S-B-C10-L2	B	2	C10	e0059-B-5	e0059	XKB-029	bacte-dropped
16S-B-D10-L2	B	2	D10	e0059-B-5	e0059	XKB-029	bacte-dropped-half_1-2
16S-B-E10-L2	B	2	E10	e0059-B-5	e0059	XKB-029	lachn-dropped
16S-B-F10-L2	B	2	F10	e0059-B-5	e0059	XKB-029	rumin-dropped
16S-B-G10-L2	B	2	G10	e0059-B-5	e0059	XKB-029	strep-dropped
16S-B-H10-L2	B	2	H10	e0059-B-5	e0059	XKB-029	one-bacte-dropped
16S-B-A11-L2	B	2	A11	e0059-B-5	e0059	super-community	blank
16S-B-B11-L2	B	2	B11	e0059-B-5	e0059	super-community	full-community
16S-B-C11-L2	B	2	C11	e0059-B-5	e0059	super-community	bacte-dropped
16S-B-D11-L2	B	2	D11	e0059-B-5	e0059	super-community	bacte-dropped-half_1-2
16S-B-E11-L2	B	2	E11	e0059-B-5	e0059	super-community	lachn-dropped
16S-B-F11-L2	B	2	F11	e0059-B-5	e0059	super-community	rumin-dropped
16S-B-G11-L2	B	2	G11	e0059-B-5	e0059	super-community	strep-dropped
16S-B-H11-L2	B	2	H11	e0059-B-5	e0059	super-community	one-bacte-dropped
16S-B-A12-L2	B	2	A12	e0059-B-5	e0059	blank	blank
16S-B-B12-L2	B	2	B12	e0059-B-5	e0059	blank	full-community
16S-B-C12-L2	B	2	C12	e0059-B-5	e0059	blank	bacte-dropped
16S-B-D12-L2	B	2	D12	e0059-B-5	e0059	blank	bacte-dropped-half_1-2
16S-B-E12-L2	B	2	E12	e0059-B-5	e0059	blank	lachn-dropped
16S-B-F12-L2	B	2	F12	e0059-B-5	e0059	blank	rumin-dropped
16S-B-G12-L2	B	2	G12	e0059-B-5	e0059	blank	strep-dropped
16S-B-H12-L2	B	2	H12	e0059-B-5	e0059	blank	one-bacte-dropped
16S-B-A1-L3	B	3	A1	e0059-C-5	e0059	XBB-029	bacte-dropped-half_2-2
16S-B-B1-L3	B	3	B1	e0059-C-5	e0059	XBB-029	lachn-dropped-half_1-2
16S-B-C1-L3	B	3	C1	e0059-C-5	e0059	XBB-029	rumin-dropped-half_1-2
16S-B-D1-L3	B	3	D1	e0059-C-5	e0059	XBB-029	lachn-dropped-half_2-2
16S-B-E1-L3	B	3	E1	e0059-C-5	e0059	XBB-029	bacte-dropped-half_1-2
16S-B-F1-L3	B	3	F1	e0059-C-5	e0059	XBB-029	lachn-dropped-half_1-2
16S-B-G1-L3	B	3	G1	e0059-C-5	e0059	XBB-029	rumin-dropped-half_1-2
16S-B-H1-L3	B	3	H1	e0059-C-5	e0059	XBB-029	lachn-dropped-half_2-2
16S-B-A2-L3	B	3	A2	e0059-C-5	e0059	XCB-029	bacte-dropped-half_2-2
16S-B-B2-L3	B	3	B2	e0059-C-5	e0059	XCB-029	lachn-dropped-half_1-2
16S-B-C2-L3	B	3	C2	e0059-C-5	e0059	XCB-029	rumin-dropped-half_1-2
16S-B-D2-L3	B	3	D2	e0059-C-5	e0059	XCB-029	lachn-dropped-half_2-2
16S-B-E2-L3	B	3	E2	e0059-C-5	e0059	XCB-029	bacte-dropped-half_1-2
16S-B-F2-L3	B	3	F2	e0059-C-5	e0059	XCB-029	lachn-dropped-half_1-2
16S-B-G2-L3	B	3	G2	e0059-C-5	e0059	XCB-029	rumin-dropped-half_1-2
16S-B-H2-L3	B	3	H2	e0059-C-5	e0059	XCB-029	lachn-dropped-half_2-2
16S-B-A3-L3	B	3	A3	e0059-C-5	e0059	XDB-029	bacte-dropped-half_2-2
